theorem,notable,expression,all_fields_match,differences,20260512_010918_status,20260512_010918_effort_actual,20260512_141829_status,20260512_141829_effort_actual
2.01,False,(PI-P)I-P,True,,PROOF FOUND,5579,PROOF FOUND,5579
2.02,False,QI(PIQ),True,,PROOF FOUND,4253,PROOF FOUND,4253
2.04,False,(PI(QIR))I(QI(PIR)),True,,PROOF FOUND,22175,PROOF FOUND,22175
2.05,False,(QIR)I((PIQ)I(PIR)),True,,PROOF FOUND,9280,PROOF FOUND,9280
2.06,False,(PIQ)I((QIR)I(PIR)),True,,PROOF FOUND,31762,PROOF FOUND,31762
2.07,False,PI(PVP),True,,PROOF FOUND,1765,PROOF FOUND,1765
2.08,False,PIP,True,,PROOF FOUND,5853,PROOF FOUND,5853
2.10,False,-PVP,True,,PROOF FOUND,3680,PROOF FOUND,3680
2.11,False,PV-P,True,,PROOF FOUND,4377,PROOF FOUND,4377
2.12,False,PI--P,True,,PROOF FOUND,5594,PROOF FOUND,5594
2.13,False,PV---P,True,,PROOF FOUND,11592,PROOF FOUND,11592
2.14,False,--PIP,True,,NO PROOF FOUND,233510,NO PROOF FOUND,233510
2.15,False,(-PIQ)I(-QIP),True,,NO PROOF FOUND,214612,NO PROOF FOUND,214612
2.20,False,PI(PVQ),True,,PROOF FOUND,23515,PROOF FOUND,23515
2.21,True,-PI(PIQ),True,,PROOF FOUND,5482,PROOF FOUND,5482
2.24,True,PI(-PVQ),True,,NO PROOF FOUND,207183,NO PROOF FOUND,207183
3.13,False,(-(P*Q))I(-PV-Q),True,,NO PROOF FOUND,239018,NO PROOF FOUND,239018
3.14,False,(-PV-Q)I(-(P*Q)),True,,NO PROOF FOUND,200411,NO PROOF FOUND,200411
3.24,False,-(P*-P),True,,NO PROOF FOUND,213818,NO PROOF FOUND,213818
4.13,True,P=--P,True,,PROOF FOUND,8122,PROOF FOUND,8122
4.20,False,P=P,True,,PROOF FOUND,7834,PROOF FOUND,7834
4.24,True,P=(P*P),True,,PROOF FOUND,43016,PROOF FOUND,43016
4.25,True,P=(PVP),True,,PROOF FOUND,12277,PROOF FOUND,12277
